PERSON_ID,FIRST_NAME,LAST_NAME,TEAM,DESCRIPTION,ALL_NBA_TEAM_NUMBER,SEASON,MONTH,WEEK,CONFERENCE,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3
358,Anfernee,Hardaway,Orlando Magic,All-NBA,1,1994-95,,,1610612753,Award,Kia Motors,KIANT,
358,Anfernee,Hardaway,Orlando Magic,All-NBA,1,1995-96,,,1610612753,Award,Kia Motors,KIANT,
358,Anfernee,Hardaway,Orlando Magic,All-NBA,3,1996-97,,,1610612753,Award,Kia Motors,KIANT,
358,Anfernee,Hardaway,Orlando Magic,All-Rookie Team,1,1993-94,,,1610612753,Award,Kia Motors,KIART,
358,Anfernee,Hardaway,,NBA All-Star,,1994-95,,,,Award,All-Star,,
358,Anfernee,Hardaway,,NBA All-Star,,1995-96,,,,Award,All-Star,,
358,Anfernee,Hardaway,,NBA All-Star,,1996-97,,,,Award,All-Star,,
358,Anfernee,Hardaway,,NBA All-Star,,1997-98,,,,Award,All-Star,,
358,Anfernee,Hardaway,Orlando Magic,NBA Player of the Month,,1995-96,11/01/1995,,,Award,Kia Motors,KIPMO,
358,Anfernee,Hardaway,Orlando Magic,NBA Player of the Week,,1994-95,,1994-11-27T00:00:00,,Award,Kia Motors,KIPWK,
358,Anfernee,Hardaway,Orlando Magic,NBA Player of the Week,,1995-96,,1995-11-12T00:00:00,,Award,Kia Motors,KIPWK,
358,Anfernee,Hardaway,Orlando Magic,NBA Rookie of the Month,,1993-94,01/01/1994,,,Award,Kia Motors,KIRMO,
358,Anfernee,Hardaway,Orlando Magic,NBA Rookie of the Month,,1993-94,04/01/1994,,,Award,Kia Motors,KIRMO,
358,Anfernee,Hardaway,USA,Olympic Gold Medal,,1996,,,,Award,Olympic,Gold,
